message,label
"Gana un iPhone gratis ahora",spam
"Oferta especial: membresía solo hoy",spam
"Descuento del 50% en tu compra",spam
"Envía DINERO al 12345 para ganar",spam
"Prueba gratis por 30 días",spam
"Felicidades, ganaste un premio",spam
"Última chance para oferta de coche",spam
"Consigue dinero rápido con promoción especial",spam
"Oferta exclusiva: tarjeta regalo",spam
"Gratis un viaje a Cancún si respondes ahora",spam
"Gana un coche gratis ahora",spam
"Oferta especial: 1000 dólares solo hoy",spam
"Descuento del 30% en tu compra",spam
"Envía 12345 al DINERO para ganar",spam
"Prueba gratis por 7 días",spam
"Felicidades, ganaste un iPhone",spam
"Última chance para oferta de membresía",spam
"Consigue dinero rápido con tarjeta regalo",spam
"Oferta exclusiva: viaje a Cancún",spam
"Gratis un premio si respondes ahora",spam
"Gana un 1000 dólares gratis ahora",spam
"Oferta especial: coche solo hoy",spam
"Descuento del 70% en tu compra",spam
"Envía promoción especial al 12345 para ganar",spam
"Prueba gratis por 14 días",spam
"Felicidades, ganaste un viaje a Cancún",spam
"Última chance para oferta de iPhone",spam
"Consigue dinero rápido con 1000 dólares",spam
"Oferta exclusiva: premio",spam
"Gratis un coche si respondes ahora",spam
"Gana un tarjeta regalo gratis ahora",spam
"Oferta especial: promoción especial solo hoy",spam
"Descuento del 20% en tu compra",spam
"Envía coche al DINERO para ganar",spam
"Prueba gratis por 60 días",spam
"Felicidades, ganaste un membresía",spam
"Última chance para oferta de 1000 dólares",spam
"Consigue dinero rápido con viaje a Cancún",spam
"Oferta exclusiva: coche",spam
"Gratis un iPhone si respondes ahora",spam
"Gana un premio gratis ahora",spam
"Oferta especial: tarjeta regalo solo hoy",spam
"Descuento del 40% en tu compra",spam
"Envía 1000 dólares al 12345 para ganar",spam
"Prueba gratis por 21 días",spam
"Felicidades, ganaste un 1000 dólares",spam
"Última chance para oferta de promoción especial",spam
"Consigue dinero rápido con coche",spam
"Oferta exclusiva: iPhone",spam
"Gratis un membresía si respondes ahora",spam
"Gana un viaje a Cancún gratis ahora",spam
"Oferta especial: premio solo hoy",spam
"Descuento del 60% en tu compra",spam
"Envía tarjeta regalo al DINERO para ganar",spam
"Prueba gratis por 10 días",spam
"Felicidades, ganaste un coche",spam
"Última chance para oferta de tarjeta regalo",spam
"Consigue dinero rápido con iPhone",spam
"Oferta exclusiva: 1000 dólares",spam
"Gratis un promoción especial si respondes ahora",spam
"Gana un 1000 dólares gratis ahora",spam
"Oferta especial: viaje a Cancún solo hoy",spam
"Descuento del 25% en tu compra",spam
"Envía iPhone al 12345 para ganar",spam
"Prueba gratis por 45 días",spam
"Felicidades, ganaste un promoción especial",spam
"Última chance para oferta de premio",spam
"Consigue dinero rápido con membresía",spam
"Oferta exclusiva: tarjeta regalo",spam
"Gratis un coche si respondes ahora",spam
"Gana un iPhone gratis ahora",spam
"Oferta especial: 1000 dólares solo hoy",spam
"Descuento del 55% en tu compra",spam
"Envía viaje a Cancún al DINERO para ganar",spam
"Prueba gratis por 15 días",spam
"Felicidades, ganaste un tarjeta regalo",spam
"Última chance para oferta de coche",spam
"Consigue dinero rápido con promoción especial",spam
"Oferta exclusiva: viaje a Cancún",spam
"Gratis un iPhone si respondes ahora",spam
"Gana un membresía gratis ahora",spam
"Oferta especial: coche solo hoy",spam
"Descuento del 35% en tu compra",spam
"Envía 12345 al tarjeta regalo para ganar",spam
"Prueba gratis por 20 días",spam
"Felicidades, ganaste un 1000 dólares",spam
"Última chance para oferta de iPhone",spam
"Consigue dinero rápido con coche",spam
"Oferta exclusiva: premio",spam
"Gratis un viaje a Cancún si respondes ahora",spam
"Gana un promoción especial gratis ahora",spam
"Oferta especial: membresía solo hoy",spam
"Descuento del 45% en tu compra",spam
"Envía coche al 12345 para ganar",spam
"Prueba gratis por 30 días",spam
"Felicidades, ganaste un iPhone",spam
"Última chance para oferta de 1000 dólares",spam
"Consigue dinero rápido con tarjeta regalo",spam
"Oferta exclusiva: coche",spam
"Gratis un premio si respondes ahora",spam
"Reunión mañana a las 10:00",no_spam
"Te extraño, llámame",no_spam
"Almuerzo en casa este domingo",no_spam
"¿Nos vemos en el parque?",no_spam
"Confirmación de tu cita médica",no_spam
"Tu paquete ha sido enviado",no_spam
"Recordatorio: pago pendiente",no_spam
"Cena reservada para dos",no_spam
"Te envié los documentos",no_spam
"Reunión mañana a las clase cancelada",no_spam
"Te extraño, la oficina",no_spam
"Almuerzo en factura este reunión",no_spam
"¿Nos vemos en pago?",no_spam
"Confirmación de tu documentos",no_spam
"Tu cita médica ha sido enviado",no_spam
"Recordatorio: paquete pendiente",no_spam
"Cena reservada para 10:00",no_spam
"Te envié domingo",no_spam
"Reunión mañana a las llámame",no_spam
"Te extraño, casa",no_spam
"Almuerzo en el parque este dos",no_spam
"¿Nos vemos en factura?",no_spam
"Confirmación de tu clase cancelada",no_spam
"Tu la oficina ha sido enviado",no_spam
"Recordatorio: reunión pendiente",no_spam
"Cena reservada para documentos",no_spam
"Te envié pago",no_spam
"Reunión mañana a las cita médica",no_spam
"Te extraño, paquete",no_spam
"Almuerzo en 10:00 este llámame",no_spam
"¿Nos vemos en casa?",no_spam
"Confirmación de tu domingo",no_spam
"Tu el parque ha sido enviado",no_spam
"Recordatorio: factura pendiente",no_spam
"Cena reservada para clase cancelada",no_spam
"Te envié la oficina",no_spam
"Reunión mañana a las reunión",no_spam
"Te extraño, documentos",no_spam
"Almuerzo en pago este cita médica",no_spam
"¿Nos vemos en paquete?",no_spam
"Confirmación de tu 10:00",no_spam
"Tu llámame ha sido enviado",no_spam
"Recordatorio: casa pendiente",no_spam
"Cena reservada para domingo",no_spam
"Te envié el parque",no_spam
"Reunión mañana a las factura",no_spam
"Te extraño, clase cancelada",no_spam
"Almuerzo en la oficina este reunión",no_spam
"¿Nos vemos en documentos?",no_spam
"Confirmación de tu pago",no_spam
"Tu cita médica ha sido enviado",no_spam
"Recordatorio: paquete pendiente",no_spam
"Cena reservada para 10:00",no_spam
"Te envié llámame",no_spam
"Reunión mañana a las casa",no_spam
"Te extraño, domingo",no_spam
"Almuerzo en el parque este factura",no_spam
"¿Nos vemos en clase cancelada?",no_spam
"Confirmación de tu la oficina",no_spam
"Tu reunión ha sido enviado",no_spam
"Recordatorio: documentos pendiente",no_spam
"Cena reservada para pago",no_spam
"Te envié cita médica",no_spam
"Reunión mañana a las paquete",no_spam
"Te extraño, 10:00",no_spam
"Almuerzo en llámame este casa",no_spam
"¿Nos vemos en domingo?",no_spam
"Confirmación de tu el parque",no_spam
"Tu factura ha sido enviado",no_spam
"Recordatorio: clase cancelada pendiente",no_spam
"Cena reservada para la oficina",no_spam
"Te envié reunión",no_spam
"Reunión mañana a las documentos",no_spam
"Te extraño, pago",no_spam
"Almuerzo en cita médica este paquete",no_spam
"¿Nos vemos en 10:00?",no_spam
"Confirmación de tu llámame",no_spam
"Tu casa ha sido enviado",no_spam
"Recordatorio: domingo pendiente",no_spam
"Cena reservada para el parque",no_spam
"Te envié factura",no_spam
"Reunión mañana a las clase cancelada",no_spam
"Te extraño, la oficina",no_spam
"Almuerzo en reunión este documentos",no_spam
"¿Nos vemos en pago?",no_spam
"Confirmación de tu cita médica",no_spam
"Tu paquete ha sido enviado",no_spam
"Recordatorio: 10:00 pendiente",no_spam
"Cena reservada para llámame",no_spam
"Te envié casa",no_spam
"Reunión mañana a las domingo",no_spam
"Te extraño, el parque",no_spam
"Almuerzo en factura este clase cancelada",no_spam
"¿Nos vemos en la oficina?",no_spam
"Confirmación de tu reunión",no_spam
"Tu documentos ha sido enviado",no_spam
"Recordatorio: pago pendiente",no_spam
"Cena reservada para cita médica",no_spam
"Te envié paquete",no_spam
